seller_rank,seller_id,gmv_proxy,seller_share,gmv_proxy_share,cumulative_gmv_share,active_months,first_sale_month,last_sale_month
174,75d34ebb1bd0bd7dde40dd507b8169c3,15048.28,0.05621971,0.00110717,0.55490567,13,2017-01,2018-02
175,e2a1ac9bf33e5549a2a4f834e70df2f8,14999.45,0.05654281,0.00110358,0.55600925,3,2017-03,2017-07
176,01fdefa7697d26ad920e9e0346d4bd1b,14921.43,0.05686591,0.00109784,0.55710709,17,2017-04,2018-08
177,1b4c3a6f53068f0b6944d2d005c9fc89,14760.30,0.05718901,0.00108598,0.55819307,18,2017-02,2018-07
178,a5cba26a62b8b4d0145b68b841e62e7f,14737.84,0.05751212,0.00108433,0.55927740,13,2017-07,2018-08
179,87b740daf17b5d1be335a64164ec6842,14699.87,0.05783522,0.00108154,0.56035894,9,2016-10,2018-03
180,4c2b230173bb36f9b240f2b8ac11786e,14592.27,0.05815832,0.00107362,0.56143256,17,2017-02,2018-08
181,080199a181c46c657dc5aa235411be3b,14504.20,0.05848142,0.00106714,0.56249970,12,2017-09,2018-08
182,8e6d7754bc7e0f22c96d255ebda59eba,14497.27,0.05880452,0.00106663,0.56356633,5,2017-12,2018-08
183,cf8ab1616079e2793aa29d524df01bb1,14391.00,0.05912763,0.00105881,0.56462514,3,2017-12,2018-03
184,5cf13accae3222c70a9cac40818ae839,14383.20,0.05945073,0.00105824,0.56568338,19,2017-01,2018-08
185,a6bd7d1ccdac48c6b33b28596b7eb122,14368.61,0.05977383,0.00105716,0.56674055,9,2017-06,2018-07
186,66922902710d126a0e7d26b0e3805106,14362.30,0.06009693,0.00105670,0.56779725,16,2017-05,2018-08
187,aba1721a889e04decc910aa13b768ef4,14103.30,0.06042003,0.00103764,0.56883489,19,2017-02,2018-08
188,f08a5b9dd6767129688d001acafc21e5,14069.63,0.06074313,0.00103517,0.56987006,4,2017-10,2018-01
189,3b15288545f8928d3e65a8f949a28291,14061.79,0.06106624,0.00103459,0.57090465,18,2017-03,2018-08
190,c6bda72e4dbf5c5866b13cb1810c6d03,14059.38,0.06138934,0.00103441,0.57193906,12,2017-07,2018-08
191,2e90cb1677d35cfe24eef47d441b7c87,13894.71,0.06171244,0.00102230,0.57296136,17,2017-03,2018-08
192,a673821011d0cec28146ea42f5ab767f,13863.69,0.06203554,0.00102002,0.57398138,19,2017-02,2018-08
193,d94a40fd42351c259927028d163af842,13823.80,0.06235864,0.00101708,0.57499846,14,2017-07,2018-08
194,05f51e13da97139648b8125c31e5f51b,13769.01,0.06268174,0.00101305,0.57601151,8,2017-07,2018-03
195,440dd6ab244315c632130ecfb63827b1,13696.90,0.06300485,0.00100774,0.57701925,21,2016-10,2018-08
196,b8bc237ba3788b23da09c0f1f3a3288c,13685.71,0.06332795,0.00100692,0.57802617,11,2017-08,2018-06
197,6039e27294dc75811c0d8a39069f52c0,13670.70,0.06365105,0.00100582,0.57903199,19,2017-02,2018-08
198,1f9ab4708f3056ede07124aad39a2554,13602.73,0.06397415,0.00100082,0.58003281,17,2017-01,2018-06
199,6d66611d7c44cc30ce351abc49a68421,13593.40,0.06429725,0.00100013,0.58103293,18,2017-02,2018-08
200,240b9776d844d37535668549a396af32,13592.08,0.06462036,0.00100003,0.58203297,2,2018-07,2018-08
201,610f72e407cdd7caaa2f8167b0163fd8,13585.16,0.06494346,0.00099952,0.58303249,5,2018-04,2018-08
202,289cdb325fb7e7f891c38608bf9e0962,13544.95,0.06526656,0.00099656,0.58402905,7,2018-02,2018-08
203,0b35c634521043bf4b47e21547b99ab5,13533.65,0.06558966,0.00099573,0.58502479,9,2017-12,2018-08
204,a3e9a2c700480d9bb01fba070ba80a0e,13440.80,0.06591276,0.00098890,0.58601369,16,2017-05,2018-08
205,d05ae8f7a5bd1d2a690a44cd079e4e27,13436.00,0.06623586,0.00098855,0.58700224,13,2017-04,2018-08
206,34d1ca11b242c0fee2c834ae8d788566,13422.24,0.06655897,0.00098754,0.58798977,17,2017-03,2018-08
207,1ca7077d890b907f89be8c954a02686a,13341.57,0.06688207,0.00098160,0.58897137,7,2017-09,2018-04
208,8cc6a0e5738e61a87b03c78b2ba9db4b,13312.40,0.06720517,0.00097945,0.58995083,3,2017-02,2017-04
209,669ae81880e08f269a64487cfb287169,13248.87,0.06752827,0.00097478,0.59092561,20,2017-01,2018-08
210,5d378b73ab7dd6f0418d743e5dcb0bd1,13243.00,0.06785137,0.00097435,0.59189996,2,2017-10,2017-11
211,ad97a199236354e53fcd91a5a913e9a2,13205.90,0.06817447,0.00097162,0.59287158,8,2017-11,2018-07
212,c31eff8334d6b3047ed34bebd4d62c36,13191.50,0.06849758,0.00097056,0.59384214,9,2017-11,2018-08
213,e8b3a3a38279a82f0e5d006d5e5b7d2c,13154.70,0.06882068,0.00096785,0.59480999,6,2017-10,2018-03
214,6edacfd9f9074789dad6d62ba7950b9c,13147.10,0.06914378,0.00096729,0.59577728,20,2017-01,2018-08
215,99eaacc9e6046db1c82b163c5f84869f,13139.17,0.06946688,0.00096671,0.59674399,12,2016-10,2018-02
216,9e6229250fedbe05838fef417b74e7fb,13132.20,0.06978998,0.00096620,0.59771019,10,2017-09,2018-08
217,431af27f296bc6519d890aa5a05fdb11,13109.50,0.07011309,0.00096453,0.59867471,16,2017-04,2018-07
218,d50d79cb34e38265a8649c383dcffd48,13012.42,0.07043619,0.00095738,0.59963210,18,2016-10,2018-08
219,530ec6109d11eaaf87999465c6afee01,12983.81,0.07075929,0.00095528,0.60058738,14,2017-05,2018-08
220,6e386f64c84e482f0b9abf960797ee1b,12938.30,0.07108239,0.00095193,0.60153931,6,2018-03,2018-08
221,e24fc9fcd865784fb25705606fe3dfe7,12936.00,0.07140549,0.00095176,0.60249107,16,2016-10,2018-03
222,039e6ad9dae79614493083e241147386,12925.00,0.07172859,0.00095095,0.60344202,3,2018-04,2018-07
223,c60b801f2d52c7f7f91de00870882a75,12913.50,0.07205170,0.00095011,0.60439213,8,2018-01,2018-08
224,cfb1a033743668a192316f3c6d1d2671,12803.64,0.07237480,0.00094202,0.60533415,18,2017-02,2018-08
225,ac3508719a1d8f5b7614b798f70af136,12775.84,0.07269790,0.00093998,0.60627413,16,2017-05,2018-08
226,ed4acab38528488b65a9a9c603ff024a,12759.45,0.07302100,0.00093877,0.60721290,14,2017-03,2018-07
227,7202e2ba20579a9bd1acb29e61fe71f6,12750.50,0.07334410,0.00093811,0.60815101,14,2017-07,2018-08
228,2b1a40c1daabc6ca280c4b815c101841,12732.60,0.07366721,0.00093680,0.60908781,14,2016-10,2018-06
229,c66dccfb3f109511246da627dd5a2498,12708.55,0.07399031,0.00093503,0.61002283,8,2018-01,2018-08
230,2e1c9f22be269ef4643f826c9e650a52,12687.68,0.07431341,0.00093349,0.61095633,14,2017-07,2018-08
231,00fc707aaaad2d31347cf883cd2dfe10,12684.90,0.07463651,0.00093329,0.61188961,6,2018-01,2018-06
232,b372ee768ed69e46ca8cdbd267aa7a38,12630.00,0.07495961,0.00092925,0.61281886,15,2017-03,2018-08
233,66e0557ecc2b4dbea057e93f215f68d8,12480.00,0.07528271,0.00091821,0.61373707,10,2017-05,2018-02
234,a7f13822ceb966b076af67121f87b063,12477.64,0.07560582,0.00091804,0.61465511,5,2016-10,2017-05
