purchase_date,gmv_proxy,orders,items,active_sellers,active_customers,aov,late_orders,late_delivery_rate,avg_review_score
2017-05-04,13508.55,108,122,78,106,125.07916666666667,2,0.018691588785046728,4.222222222222222
2017-05-05,13969.76,110,123,83,108,126.99781818181819,2,0.019230769230769232,3.90990990990991
2017-05-06,16219.98,107,127,87,104,151.58859813084112,2,0.019417475728155338,4.231481481481482
2017-05-07,17167.87,109,120,81,107,157.50339449541283,2,0.0196078431372549,4.036363636363636
2017-05-08,16148.41,122,143,85,121,132.36401639344263,5,0.041666666666666664,4.32520325203252
2017-05-09,20837.05,125,154,86,124,166.69639999999998,6,0.05,4.1328125
2017-05-10,20927.49,115,124,83,113,181.9781739130435,7,0.06422018348623854,4.238938053097345
2017-05-11,18164.55,126,138,100,125,144.16309523809522,8,0.06451612903225806,4.170731707317073
2017-05-12,12635.710000000001,113,123,82,110,111.82044247787611,8,0.0761904761904762,3.8947368421052633
2017-05-13,9118.65,73,81,63,72,124.91301369863014,2,0.029850746268656716,3.8219178082191783
2017-05-14,15219.7,112,129,85,112,135.89017857142858,7,0.06481481481481481,4.126126126126126
2017-05-15,17962.03,154,171,125,151,116.63655844155844,4,0.026845637583892617,3.948717948717949
2017-05-16,21174.88,151,172,116,148,140.23099337748346,4,0.026845637583892617,4.122516556291391
2017-05-17,18343.93,141,157,103,140,130.09879432624115,4,0.02877697841726619,4.276978417266187
2017-05-18,18245.13,125,140,95,123,145.96104,4,0.03225806451612903,4.008064516129032
2017-05-19,18397.670000000002,144,168,102,139,127.76159722222224,3,0.02142857142857143,4.140845070422535
2017-05-20,10632.41,72,80,57,71,147.67236111111112,2,0.02857142857142857,4.228571428571429
2017-05-21,17426.2,148,164,94,144,117.7445945945946,3,0.020689655172413793,4.248275862068965
2017-05-22,25414.2,148,167,96,145,171.71756756756758,3,0.020689655172413793,4.1824324324324325
2017-05-23,17798.38,125,146,86,125,142.38704,5,0.041666666666666664,4.146341463414634
2017-05-24,23350.97,141,159,98,138,165.60971631205675,7,0.05,4.314285714285714
2017-05-25,15383.79,105,120,80,104,146.51228571428572,4,0.0392156862745098,4.231481481481482
2017-05-26,10651.18,78,93,66,77,136.55358974358975,2,0.025974025974025976,4.05
2017-05-27,14139.51,81,93,64,80,174.56185185185186,2,0.025974025974025976,4.246913580246914
2017-05-28,9262.62,98,106,80,98,94.5165306122449,2,0.02040816326530612,4.43298969072165
2017-05-29,18912.86,158,178,103,157,119.70164556962025,3,0.019867549668874173,4.04375
2017-05-30,14345.48,102,118,78,102,140.6419607843137,3,0.030612244897959183,4.171428571428572
2017-05-31,20438.15,126,142,96,126,162.2075396825397,3,0.025423728813559324,4.209302325581396
2017-06-01,19305.25,124,136,88,122,155.6875,3,0.024390243902439025,3.9918032786885247
2017-06-02,19131.33,126,135,84,124,151.8359523809524,5,0.04065040650406504,4.181102362204724
2017-06-03,10450.35,89,101,67,89,117.41966292134832,4,0.045454545454545456,4.08235294117647
2017-06-04,13863.23,101,106,80,100,137.259702970297,3,0.030303030303030304,4.382352941176471
2017-06-05,24184.55,146,163,97,144,165.647602739726,5,0.035211267605633804,4.103448275862069
2017-06-06,14589.15,133,156,86,129,109.69285714285714,3,0.0234375,4.213740458015267
2017-06-07,12771.66,124,132,101,123,102.99725806451613,6,0.04918032786885246,4.0546875
2017-06-08,18503.08,137,151,104,134,135.0589781021898,3,0.022388059701492536,4.1678832116788325
2017-06-09,16051.35,106,127,78,104,151.42783018867925,1,0.009523809523809525,4.130841121495327
2017-06-10,8220.35,76,83,63,75,108.16250000000001,0,0.0,3.9078947368421053
2017-06-11,14303.56,113,126,86,110,126.58017699115044,5,0.04504504504504504,4.2105263157894735
2017-06-12,14803.11,125,149,92,125,118.42488,10,0.08264462809917356,4.2
