purchase_month,category,gmv_proxy,orders,avg_review,late_rate,active_sellers,gmv_per_seller,gmv_share,gmv_growth
2017-02,consoles_games,4294.77,18,4.111111111111111,,7,613.5385714285715,0.0173664276319795,-0.2786990695643411
2017-02,construction_tools_construction,336.79,3,5.0,,2,168.395,0.001361851545525,0.08641935483870977
2017-02,construction_tools_safety,379.0,1,5.0,,1,379.0,0.0015325328416935,
2017-02,cool_stuff,13323.6,69,4.3,,26,512.4461538461538,0.0538756057245075,0.7114736662269248
2017-02,costruction_tools_garden,579.98,1,5.0,,1,579.98,0.0023452200462412,
2017-02,dvds_blu_ray,14.9,1,4.0,,1,14.9,6.024997187660709e-05,-0.5
2017-02,electronics,1218.85,14,4.2105263157894735,,10,121.88499999999999,0.0049285690081746,0.975445705024311
2017-02,fashio_female_clothing,457.8,4,3.0,,3,152.6,0.001851170276853,4.9223803363518766
2017-02,fashion_bags_accessories,2374.11,35,4.153846153846154,,13,182.62384615384616,0.0096000040759712,0.4199477263348028
2017-02,fashion_male_clothing,642.85,7,4.142857142857143,,4,160.7125,0.0025994425785823,4.065799842395587
2017-02,fashion_shoes,107.05,2,4.333333333333333,,2,53.525,0.0004328697643886,2.067335243553009
2017-02,fashion_underwear_beach,396.97,6,4.0,,2,198.485,0.0016051967339501,1.892313296903461
2017-02,fixed_telephony,759.23,18,4.136363636363637,,7,108.46142857142857,0.0030700393387836,0.12126358695652173
2017-02,food,715.63,9,3.888888888888889,,3,238.54333333333332,0.0028937374076547,15.712517515179822
2017-02,furniture_bedroom,450.0,1,5.0,,1,450.0,0.001819630023119,5.147540983606557
2017-02,furniture_decor,20986.1,221,3.8333333333333335,,74,283.5959459459459,0.0848598613959506,0.5520759453041162
2017-02,furniture_living_room,3791.63,15,3.739130434782609,,4,947.9075,0.0153319195212415,2.0530880103067877
2017-02,garden_tools,13144.61,63,3.986111111111111,,35,375.5602857142857,0.0531518377737562,0.6122915580632302
2017-02,health_beauty,22838.79,155,4.072727272727272,,46,496.4954347826087,0.0923514399460225,0.8181839169768783
2017-02,home_appliances,740.9,7,4.142857142857143,,2,370.45,0.0029959197425086,
2017-02,home_appliances_2,15.99,1,5.0,,1,15.99,6.465752015482869e-05,-0.992481238362142
2017-02,home_confort,414.66,3,3.0,,2,207.33,0.00167672841197,
2017-02,home_construction,695.6,3,5.0,,1,695.6,0.0028127436535146,
2017-02,housewares,12659.67,68,3.740740740740741,,33,383.62636363636364,0.0511909235883977,3.4772101938760356
2017-02,industry_commerce_and_business,119.0,1,5.0,,1,119.0,0.0004811910505581,-0.6690767519466074
2017-02,kitchen_dining_laundry_garden_furniture,139.9,2,4.0,,2,69.95,0.0005657027560763,0.27181818181818196
2017-02,luggage_accessories,1694.18,20,4.333333333333333,,4,423.545,0.0068506239834839,2.439959390862944
2017-02,market_place,1688.22,19,3.909090909090909,,14,120.58714285714287,0.0068265239947332,2.776440586972083
2017-02,musical_instruments,2221.28,8,4.444444444444445,,6,370.21333333333337,0.0089820172838973,5.538176252428328
2017-02,office_furniture,11805.98,53,3.5873015873015874,,5,2361.196,0.04773892368965,7.173905216879566
2017-02,perfumery,8127.179999999999,49,4.235294117647059,,12,677.265,0.0328632460695384,0.5896373665062786
2017-02,pet_shop,3729.07,37,4.325,,16,233.066875,0.0150789505118053,2.8558503598312517
2017-02,small_appliances,7251.58,25,4.678571428571429,,13,557.8138461538462,0.0293226504067762,3.3663437279848747
2017-02,sports_leisure,16372.16,139,4.141025641025641,,58,282.27862068965516,0.0662028308429068,0.684791131984992
2017-02,stationery,2341.4,19,4.526315789473684,,10,234.14000000000001,0.0094677371914018,0.49898526879173377
2017-02,tablets_printing_image,792.0,8,4.25,,1,792.0,0.0032025488406894,
2017-02,telephony,6899.09,100,4.08256880733945,,18,383.28277777777777,0.0278973139915557,1.3419612608881617
2017-02,toys,9403.34,62,4.283582089552239,,16,587.70875,0.038023555070213,0.953295430704453
2017-02,unknown,9034.1,52,3.8620689655172415,,27,334.5962962962963,0.0365304879819098,4.305936663064418
2017-02,watches_gifts,11756.21,35,4.0,,7,1679.4585714285713,0.047537672609093,0.4538033665903254
