days_since_won,at_risk,events,censored,survival,cumulative_activation,metric_version
20.0978,740,1,0,0.8954901177982206,0.10450988220177937,v3
20.8014,739,1,0,0.8942783585048536,0.1057216414951464,v3
20.8458,738,1,0,0.8930665992114867,0.10693340078851332,v3
20.8721,737,1,0,0.8918548399181196,0.10814516008188035,v3
21.3134,736,1,0,0.8906430806247526,0.10935691937524739,v3
21.7516,735,1,0,0.8894313213313856,0.11056867866861442,v3
21.8416,734,1,0,0.8882195620380186,0.11178043796198145,v3
22.0691,733,1,0,0.8870078027446515,0.11299219725534848,v3
22.3408,732,1,0,0.8857960434512846,0.1142039565487154,v3
22.7093,731,1,0,0.8845842841579176,0.11541571584208243,v3
22.7972,730,1,0,0.8833725248645505,0.11662747513544947,v3
22.8177,729,1,0,0.8821607655711836,0.11783923442881639,v3
23.0431,728,1,0,0.8809490062778166,0.11905099372218342,v3
23.135,727,1,0,0.8797372469844497,0.12026275301555034,v3
23.1527,726,1,0,0.8785254876910827,0.12147451230891726,v3
23.5385,725,1,0,0.8773137283977157,0.12268627160228429,v3
23.5791,724,1,0,0.8761019691043487,0.12389803089565132,v3
23.7331,723,1,0,0.8748902098109816,0.12510979018901836,v3
23.8147,722,1,0,0.8736784505176146,0.1263215494823854,v3
24.0353,721,1,0,0.8724666912242476,0.12753330877575242,v3
24.0821,720,1,0,0.8712549319308805,0.12874506806911945,v3
24.2517,719,1,0,0.8700431726375135,0.12995682736248648,v3
24.291,718,1,0,0.8688314133441465,0.13116858665585351,v3
24.314,717,0,1,0.8688314133441465,0.13116858665585351,v3
24.6069,716,1,0,0.8676179616495318,0.13238203835046825,v3
25.2949,715,1,0,0.866404509954917,0.13359549004508298,v3
25.8948,714,1,0,0.8651910582603023,0.1348089417396977,v3
25.9165,713,1,0,0.8639776065656876,0.13602239343431244,v3
26.0625,712,1,0,0.8627641548710728,0.13723584512892717,v3
26.183,711,1,0,0.8615507031764581,0.1384492968235419,v3
26.5931,710,1,0,0.8603372514818434,0.13966274851815663,v3
26.7885,709,1,0,0.8591237997872286,0.14087620021277136,v3
27.6539,708,1,0,0.8579103480926139,0.1420896519073861,v3
27.8834,707,1,0,0.8566968963979992,0.14330310360200083,v3
27.9313,706,1,0,0.8554834447033844,0.14451655529661556,v3
28.283,705,1,0,0.8542699930087697,0.1457300069912303,v3
28.5201,704,1,0,0.853056541314155,0.14694345868584502,v3
28.6359,703,1,0,0.8518430896195403,0.14815691038045975,v3
28.6782,702,1,0,0.8506296379249255,0.14937036207507448,v3
28.7393,701,1,0,0.8494161862303108,0.1505838137696892,v3
28.8657,700,1,0,0.8482027345356961,0.15179726546430394,v3
28.9444,699,1,0,0.8469892828410813,0.15301071715891867,v3
29.1526,698,1,0,0.8457758311464666,0.1542241688535334,v3
29.6055,697,1,0,0.8445623794518519,0.15543762054814814,v3
29.8273,696,1,0,0.8433489277572371,0.15665107224276287,v3
30.0487,695,1,0,0.8421354760626224,0.1578645239373776,v3
30.1193,694,1,0,0.8409220243680077,0.15907797563199233,v3
30.9592,693,1,0,0.8397085726733929,0.16029142732660706,v3
31.0681,692,1,0,0.8384951209787782,0.1615048790212218,v3
31.5833,691,1,0,0.8372816692841635,0.16271833071583652,v3
31.8869,690,1,0,0.8360682175895487,0.16393178241045125,v3
32.0249,689,1,0,0.834854765894934,0.16514523410506599,v3
32.0789,688,1,0,0.8336413142003193,0.16635868579968072,v3
32.3085,687,0,1,0.8336413142003193,0.16635868579968072,v3
32.9473,686,0,1,0.8336413142003193,0.16635868579968072,v3
32.9693,685,1,0,0.8324243195810487,0.16757568041895132,v3
33.1306,684,1,0,0.8312073249617781,0.16879267503822193,v3
33.349,683,1,0,0.8299903303425075,0.17000966965749253,v3
33.3547,682,1,0,0.828773335723237,0.17122666427676303,v3
33.7937,681,1,0,0.8275563411039665,0.17244365889603352,v3
34.0101,680,1,0,0.826339346484696,0.17366065351530402,v3
34.0334,679,1,0,0.8251223518654255,0.17487764813457451,v3
34.0496,678,1,0,0.823905357246155,0.176094642753845,v3
34.0975,677,1,0,0.8226883626268845,0.1773116373731155,v3
34.1438,676,1,0,0.821471368007614,0.178528631992386,v3
34.1918,675,1,0,0.8202543733883434,0.1797456266116566,v3
34.2761,674,0,1,0.8202543733883434,0.1797456266116566,v3
34.7344,673,1,0,0.8190355704561171,0.18096442954388292,v3
35.0483,672,1,0,0.8178167675238908,0.18218323247610924,v3
35.2647,671,1,0,0.8165979645916644,0.18340203540833555,v3
35.6975,670,1,0,0.8153791616594381,0.18462083834056187,v3
35.7477,669,1,0,0.8141603587272118,0.18583964127278818,v3
35.9503,668,1,0,0.8129415557949855,0.1870584442050145,v3
36.2209,667,1,0,0.8117227528627592,0.1882772471372408,v3
36.9456,666,1,0,0.8105039499305328,0.18949605006946724,v3
37.1209,665,1,0,0.8092851469983064,0.19071485300169355,v3
37.1308,664,1,0,0.80806634406608,0.19193365593391998,v3
37.1573,663,1,0,0.8068475411338537,0.1931524588661463,v3
37.4751,662,0,1,0.8068475411338537,0.1931524588661463,v3
37.5345,661,1,0,0.8056268943242715,0.19437310567572852,v3
38.0757,660,1,0,0.8044062475146893,0.19559375248531075,v3
38.735,659,1,0,0.803185600705107,0.19681439929489297,v3
38.7995,658,1,0,0.8019649538955248,0.1980350461044752,v3
38.8161,657,1,0,0.8007443070859426,0.19925569291405743,v3
38.875,656,1,0,0.7995236602763603,0.20047633972363965,v3
38.9257,655,1,0,0.7983030134667781,0.20169698653322188,v3
38.9778,654,1,0,0.7970823666571959,0.2029176333428041,v3
39.0656,653,1,0,0.7958617198476137,0.20413828015238633,v3
39.0658,652,1,0,0.7946410730380314,0.20535892696196856,v3
39.1183,651,1,0,0.7934204262284492,0.20657957377155078,v3
39.1538,650,1,0,0.792199779418867,0.207800220581133,v3
39.166,649,1,0,0.7909791326092848,0.20902086739071524,v3
39.2272,648,0,1,0.7909791326092848,0.20902086739071524,v3
39.2417,647,1,0,0.7897565991740308,0.21024340082596915,v3
39.4799,646,0,1,0.7897565991740308,0.21024340082596915,v3
39.8077,645,1,0,0.7885321703381022,0.2114678296618978,v3
40.0788,644,1,0,0.7873077415021735,0.21269225849782647,v3
40.1072,643,0,1,0.7873077415021735,0.21269225849782647,v3
40.232,642,1,0,0.7860814054562201,0.21391859454377993,v3
41.2589,641,0,1,0.7860814054562201,0.21391859454377993,v3
41.4782,640,0,1,0.7860814054562201,0.21391859454377993,v3
41.4807,639,0,1,0.7860814054562201,0.21391859454377993,v3
41.7237,638,1,0,0.784849302939831,0.21515069706016898,v3
42.091,637,1,0,0.783617200423442,0.21638279957655804,v3
42.265,636,1,0,0.7823850979070529,0.2176149020929471,v3
42.6904,635,1,0,0.7811529953906639,0.21884700460933615,v3
42.7001,634,1,0,0.7799208928742748,0.2200791071257252,v3
42.7389,633,1,0,0.7786887903578857,0.22131120964211426,v3
42.8789,632,1,0,0.7774566878414967,0.22254331215850331,v3
43.1232,631,1,0,0.7762245853251076,0.22377541467489237,v3
43.5168,630,1,0,0.7749924828087186,0.22500751719128143,v3
43.8779,629,1,0,0.7737603802923295,0.22623961970767048,v3
44.0455,628,1,0,0.7725282777759405,0.22747172222405954,v3
44.1146,627,1,0,0.7712961752595514,0.2287038247404486,v3
44.2552,626,1,0,0.7700640727431624,0.22993592725683765,v3
44.3311,625,1,0,0.7688319702267733,0.2311680297732267,v3
44.354,624,1,0,0.7675998677103842,0.23240013228961576,v3
44.6974,623,1,0,0.7663677651939952,0.2336322348060048,v3
45.0378,622,1,0,0.7651356626776061,0.23486433732239387,v3
45.1869,621,1,0,0.7639035601612171,0.23609643983878292,v3
45.2092,620,0,1,0.7639035601612171,0.23609643983878292,v3
45.2666,619,0,1,0.7639035601612171,0.23609643983878292,v3
45.2756,618,1,0,0.7626674702580436,0.2373325297419564,v3
45.4785,617,0,1,0.7626674702580436,0.2373325297419564,v3
45.7881,616,1,0,0.7614293737154169,0.23857062628458314,v3
45.8961,615,1,0,0.7601912771727902,0.23980872282720977,v3
46.0176,614,1,0,0.7589531806301635,0.24104681936983652,v3
46.5077,613,0,1,0.7589531806301635,0.24104681936983652,v3
46.8586,612,1,0,0.7577130610539704,0.2422869389460296,v3
47.0188,611,1,0,0.7564729414777773,0.24352705852222267,v3
47.3607,610,1,0,0.7552328219015843,0.24476717809841575,v3
47.5034,609,0,1,0.7552328219015843,0.24476717809841575,v3
47.6716,608,1,0,0.7539906626550356,0.24600933734496444,v3
48.0377,607,1,0,0.7527485034084869,0.24725149659151313,v3
48.1349,606,0,1,0.7527485034084869,0.24725149659151313,v3
48.4005,605,1,0,0.7515042910061588,0.2484957089938412,v3
49.1005,604,1,0,0.7502600786038307,0.2497399213961693,v3
49.4106,603,1,0,0.7490158662015026,0.2509841337984974,v3
49.7959,602,1,0,0.7477716537991745,0.25222834620082546,v3
50.2992,601,1,0,0.7465274413968465,0.25347255860315354,v3
50.6498,600,1,0,0.7452832289945184,0.2547167710054816,v3
50.7875,599,1,0,0.7440390165921903,0.2559609834078097,v3
51.2154,598,0,1,0.7440390165921903,0.2559609834078097,v3
51.2373,597,0,1,0.7440390165921903,0.2559609834078097,v3
51.383,596,1,0,0.7427906289804584,0.25720937101954156,v3
51.6188,595,1,0,0.7415422413687266,0.2584577586312734,v3
51.9936,594,1,0,0.7402938537569947,0.25970614624300525,v3
52.2826,593,0,1,0.7402938537569947,0.25970614624300525,v3
52.2933,592,1,0,0.7390433573824052,0.26095664261759477,v3
52.4099,591,1,0,0.7377928610078157,0.2622071389921843,v3
52.6107,590,1,0,0.7365423646332262,0.2634576353667738,v3
52.822,589,1,0,0.7352918682586367,0.2647081317413633,v3
52.8909,588,1,0,0.7340413718840472,0.26595862811595283,v3
52.9015,587,1,0,0.7327908755094577,0.26720912449054235,v3
53.0786,586,1,0,0.7315403791348681,0.26845962086513186,v3
53.3612,585,1,0,0.7302898827602786,0.2697101172397214,v3
53.5034,584,1,0,0.7290393863856891,0.2709606136143109,v3
53.8266,583,1,0,0.7277888900110996,0.2722111099889004,v3
53.9664,582,1,0,0.7265383936365101,0.27346160636348993,v3
54.0913,581,1,0,0.7252878972619206,0.27471210273807944,v3
54.2638,580,1,0,0.724037400887331,0.27596259911266896,v3
54.5676,579,1,0,0.7227869045127415,0.2772130954872585,v3
54.5762,578,1,0,0.721536408138152,0.278463591861848,v3
55.1887,577,1,0,0.7202859117635625,0.2797140882364375,v3
55.4977,576,0,1,0.7202859117635625,0.2797140882364375,v3
55.8339,575,1,0,0.7190332406126694,0.2809667593873306,v3
55.8838,574,1,0,0.7177805694617763,0.28221943053822374,v3
55.9378,573,1,0,0.7165278983108831,0.28347210168911685,v3
56.1155,572,1,0,0.71527522715999,0.28472477284000997,v3
56.1999,571,1,0,0.7140225560090969,0.2859774439909031,v3
56.7119,570,1,0,0.7127698848582038,0.2872301151417962,v3
56.8633,569,1,0,0.7115172137073107,0.2884827862926893,v3
57.0404,568,1,0,0.7102645425564175,0.28973545744358253,v3
57.8327,567,1,0,0.7090118714055244,0.29098812859447565,v3
58.3842,566,1,0,0.7077592002546312,0.29224079974536876,v3
58.3862,565,0,1,0.7077592002546312,0.29224079974536876,v3
58.3898,564,1,0,0.7065043080555983,0.2934956919444017,v3
58.6024,563,1,0,0.7052494158565653,0.2947505841434347,v3
59.1207,562,1,0,0.7039945236575322,0.29600547634246777,v3
59.2453,561,1,0,0.7027396314584992,0.29726036854150084,v3
59.7389,560,1,0,0.7014847392594661,0.2985152607405339,v3
59.8241,559,1,0,0.700229847060433,0.299770152939567,v3
59.875,558,0,1,0.700229847060433,0.299770152939567,v3
59.9142,557,1,0,0.6989727019131073,0.30102729808689266,v3
60.2706,556,1,0,0.6977155567657816,0.30228444323421844,v3
60.2926,555,1,0,0.6964584116184559,0.3035415883815441,v3
60.9767,554,1,0,0.6952012664711301,0.3047987335288699,v3
61.1904,553,0,1,0.6952012664711301,0.3047987335288699,v3
61.4482,552,0,1,0.6952012664711301,0.3047987335288699,v3
61.5743,551,1,0,0.6939395581835237,0.3060604418164763,v3
61.9815,550,1,0,0.6926778498959173,0.3073221501040827,v3
62.1242,549,1,0,0.6914161416083109,0.3085838583916891,v3
62.1333,548,0,1,0.6914161416083109,0.3085838583916891,v3
62.2431,547,0,1,0.6914161416083109,0.3085838583916891,v3
62.2857,546,1,0,0.6901498116786253,0.3098501883213747,v3
62.4042,545,0,1,0.6901498116786253,0.3098501883213747,v3
62.6875,544,1,0,0.688881153936569,0.311118846063431,v3
62.7198,543,1,0,0.6876124961945127,0.3123875038054873,v3
63.0406,542,1,0,0.6863438384524564,0.3136561615475436,v3
63.4706,541,1,0,0.6850751807104001,0.3149248192895999,v3
63.6234,540,1,0,0.6838065229683438,0.31619347703165623,v3
63.7193,539,1,0,0.6825378652262875,0.31746213477371255,v3
64.1199,538,1,0,0.6812692074842311,0.31873079251576886,v3
64.3789,537,1,0,0.6800005497421748,0.31999945025782517,v3
64.62,536,1,0,0.6787318920001185,0.3212681079998815,v3
64.9196,535,1,0,0.6774632342580622,0.3225367657419378,v3
65.3422,534,1,0,0.6761945765160059,0.3238054234839941,v3
65.977,533,1,0,0.6749259187739496,0.3250740812260504,v3
66.3117,532,0,1,0.6749259187739496,0.3250740812260504,v3
67.394,531,0,1,0.6749259187739496,0.3250740812260504,v3
67.5455,530,1,0,0.6736524736441875,0.32634752635581254,v3
68.393,529,0,1,0.6736524736441875,0.32634752635581254,v3
68.4062,528,0,1,0.6736524736441875,0.32634752635581254,v3
68.4359,527,1,0,0.6723741957055837,0.32762580429441635,v3
68.4593,526,1,0,0.6710959177669799,0.32890408223302015,v3
68.9051,525,1,0,0.6698176398283762,0.33018236017162383,v3
69.1637,524,1,0,0.6685393618897724,0.33146063811022763,v3
69.1973,523,0,1,0.6685393618897724,0.33146063811022763,v3
69.875,522,0,1,0.6685393618897724,0.33146063811022763,v3
69.8976,521,1,0,0.6672561769341298,0.33274382306587025,v3
70.0028,520,1,0,0.6659729919784872,0.33402700802151275,v3
70.2409,519,1,0,0.6646898070228446,0.33531019297715536,v3
70.6456,518,1,0,0.6634066220672021,0.33659337793279787,v3
70.6655,517,1,0,0.6621234371115595,0.3378765628884405,v3
70.6864,516,1,0,0.6608402521559169,0.3391597478440831,v3
70.8003,515,1,0,0.6595570672002744,0.3404429327997256,v3
70.8522,514,1,0,0.6582738822446319,0.3417261177553681,v3
70.928,513,1,0,0.6569906972889893,0.3430093027110107,v3
70.9675,512,1,0,0.6557075123333468,0.3442924876666532,v3
71.8077,511,1,0,0.6544243273777043,0.3455756726222957,v3
71.8955,510,1,0,0.6531411424220618,0.3468588575779382,v3
71.9657,509,1,0,0.6518579574664193,0.3481420425335807,v3
72.1386,508,1,0,0.6505747725107768,0.3494252274892232,v3
72.4999,507,1,0,0.6492915875551342,0.35070841244486584,v3
