seller_id,gmv_proxy,seller_rank,cumulative_seller_share,cumulative_gmv_share
87142160b41353c4e5fca2360caf6f92,31095.98,82,0.026494345718901455,0.41432587509632846
70a12e78e608ac31179aea7f8422044b,30858.53,83,0.026817447495961228,0.41659627966851426
53e4c6e0f4312d4d2107a8c9cddf45cd,30148.95,84,0.027140549273021,0.4188144771629056
d23019c84ffae2d5ef2270367b8605fc,29205.1,85,0.027463651050080775,0.4209632312536268
900ba814c251a692506d7834c1218441,29099.69,86,0.02778675282714055,0.423104229843812
1554a68530182680ad5c8b042c3ab563,29052.53,87,0.028109854604200322,0.42524175865498887
0b90b6df587eb83608a64ea8b390cf07,28592.32,88,0.028432956381260095,0.4273454276909864
7e1fb0a3ebfb01ffb3a7dae98bf3238d,27349.53,89,0.028756058158319872,0.4293576589268597
59b22a78efb79a4797979612b885db36,27184.5,90,0.029079159935379646,0.431357748143442
d1c281d3ae149232351cd8c8cc885f0d,26942.6,91,0.02940226171243942,0.43334003965980955
b32be1695eb7ec5f10f72d9610a12527,26874.0,92,0.029725363489499192,0.43531728395734803
12b9676b00f60f3b700e83af21824c0e,26774.0,93,0.030048465266558966,0.43728717079303664
a3a38f4affed601eb87a97788c949667,26533.32,94,0.03037156704361874,0.439239349689545
de23c3b98a88888289c6f5cc1209054a,26399.67,95,0.030694668820678513,0.4411816953382909
9f505651f4a6abe901a56cdc21508025,26361.82,96,0.031017770597738286,0.44312125618772663
16090f2ca825584b5a147ab24aa30c86,25716.44,97,0.03134087237479806,0.44501333344987565
a416b6a846a11724393025641d4edd5e,25670.72,98,0.031663974151857836,0.4469020468804668
b94cc9f10ddc85e4ba73a6f7974e7101,25346.1,99,0.031987075928917606,0.44876687651840086
c003204e1ab016dfa150abc119207b24,25108.09,100,0.03231017770597738,0.45061419466138597
001cca7ae9ae17fb1caed9dfb1094831,25080.03,101,0.03263327948303716,0.4524594483005761
1900267e848ceeba8fa32d80c1a5f5a8,24982.53,102,0.03295638126009693,0.4542975284144626
1c68394e931a64f90ea236c5ea590300,24832.75,103,0.03327948303715671,0.4561245885219902
