seller_id,month,orders,items,gmv_proxy,aov,active_flag,customer_count,category_count,avg_review_score_proxy,review_eligible_orders
013900e863eace745d3ec7614cab5b1a,2017-12,5,6,339.9,67.97999999999999,1,5,2,5.0,5.0
013900e863eace745d3ec7614cab5b1a,2018-01,5,5,277.5,55.5,1,5,2,4.4,5.0
013900e863eace745d3ec7614cab5b1a,2018-02,6,6,387.5,64.58333333333333,1,6,3,4.333333333333333,6.0
013900e863eace745d3ec7614cab5b1a,2018-04,2,2,186.0,93.0,1,2,1,5.0,2.0
014c0679dd340a0e338872e7ec85666a,2017-01,1,1,110.0,110.0,1,1,1,5.0,1.0
014c0679dd340a0e338872e7ec85666a,2017-02,1,1,110.0,110.0,1,1,1,3.0,1.0
014c0679dd340a0e338872e7ec85666a,2017-04,1,1,594.0,594.0,1,1,1,5.0,1.0
014c0679dd340a0e338872e7ec85666a,2017-05,1,1,594.0,594.0,1,1,1,5.0,1.0
014c0679dd340a0e338872e7ec85666a,2017-09,1,1,589.0,589.0,1,1,1,5.0,1.0
014c0679dd340a0e338872e7ec85666a,2017-11,1,1,175.0,175.0,1,1,1,3.0,1.0
014c0679dd340a0e338872e7ec85666a,2017-12,1,1,400.0,400.0,1,1,1,4.0,1.0
014c0679dd340a0e338872e7ec85666a,2018-01,1,1,435.0,435.0,1,1,1,5.0,1.0
014c0679dd340a0e338872e7ec85666a,2018-02,1,1,1320.0,1320.0,1,1,1,1.0,1.0
014c0679dd340a0e338872e7ec85666a,2018-03,3,3,1693.0,564.3333333333334,1,3,2,4.0,3.0
014c0679dd340a0e338872e7ec85666a,2018-04,1,1,358.0,358.0,1,1,1,5.0,1.0
014c0679dd340a0e338872e7ec85666a,2018-07,1,2,680.0,680.0,1,1,1,1.0,1.0
014d9a685fd57276679edd00e07089e5,2017-11,1,1,69.99,69.99,1,1,1,,
014d9a685fd57276679edd00e07089e5,2018-01,1,1,69.99,69.99,1,1,1,,
014d9a685fd57276679edd00e07089e5,2018-03,4,4,217.96,54.49,1,4,2,4.0,3.0
014d9a685fd57276679edd00e07089e5,2018-04,2,3,131.97,65.985,1,2,1,5.0,2.0
014d9a685fd57276679edd00e07089e5,2018-08,3,3,239.96999999999997,79.99,1,3,1,4.666666666666667,3.0
0176f73cc1195f367f7b32db1e5b3aa8,2017-11,3,3,559.7,186.5666666666667,1,3,1,4.0,3.0
0176f73cc1195f367f7b32db1e5b3aa8,2018-01,6,6,875.4000000000001,145.9,1,6,1,4.4,5.0
0176f73cc1195f367f7b32db1e5b3aa8,2018-02,3,4,365.6,121.86666666666667,1,3,1,4.0,3.0
0176f73cc1195f367f7b32db1e5b3aa8,2018-03,4,4,292.6,73.15,1,4,1,2.75,4.0
0176f73cc1195f367f7b32db1e5b3aa8,2018-04,3,3,295.70000000000005,98.56666666666668,1,3,1,4.333333333333333,3.0
0176f73cc1195f367f7b32db1e5b3aa8,2018-05,6,6,775.4000000000001,129.23333333333335,1,6,1,3.6,5.0
0176f73cc1195f367f7b32db1e5b3aa8,2018-06,4,4,509.6,127.4,1,4,1,5.0,4.0
0176f73cc1195f367f7b32db1e5b3aa8,2018-07,7,7,779.3000000000001,111.32857142857144,1,7,1,4.714285714285714,7.0
0176f73cc1195f367f7b32db1e5b3aa8,2018-08,2,2,279.8,139.9,1,2,1,4.0,2.0
01bcc9d254a0143f0ce9791b960b2a47,2017-08,1,1,117.79,117.79,1,1,1,5.0,1.0
01bcc9d254a0143f0ce9791b960b2a47,2017-09,5,5,670.77,134.154,1,5,1,4.2,5.0
01bcc9d254a0143f0ce9791b960b2a47,2017-10,3,3,445.4,148.46666666666667,1,3,1,4.5,3.0
01bcc9d254a0143f0ce9791b960b2a47,2018-01,1,1,121.35,121.35,1,1,1,4.0,1.0
